4Rogoźnica-Las,E,9 373,5 105,7,świdnicki
4Rogoźnica-Południe,Z,12 267,-,-,świdnicki
4Rogoźnica-Północ,E,34 660,30 548,1 133,świdnicki
5Rogówka,P,30 405,-,-,kłodzki
4Siedlimowice,Z,4 384,-,-,świdnicki
4Siedlimowice I,E,39 193,6 289,831,świdnicki
4Strzeblów I,E,20 312,14 605,515,"świdnicki,wrocławski"
4Strzeblów II,E,68 807,39 516,419,"świdnicki,wrocławski"
4Strzegom,T,22 613,14 059,-,świdnicki
4Strzegom II,E,10 065,8 319,14,świdnicki
"Strzegom Kamieniołom425/26",E,32 156,31 890,149,świdnicki
4Strzegom Kamieniołom nr 18,E,13 630,9 943,4,świdnicki
4Strzegom-Artur,E,25 541,25 541,123,świdnicki
4Strzegów I,R,28 251,-,-,strzeliński
4Strzegów-Gęsiniec,Z,39 304,-,-,strzeliński
4Strzelin,E,69 349,54 712,1 181,strzeliński
4Szklarska Poręba-Huta,E,5 033,1 317,5,jeleniogórski
4Wiciarka,Z,8 733,-,-,jeleniogórski
4Wieśnica,E,29 145,16 065,383,świdnicki
5Zamczysko,P,12 344,-,-,kłodzki
4Zimnik,E,19 440,13 023,3,jaworski
4Zimnik I,E,64 650,37 436,309,"jaworski, świdnicki"
4Zimnik II,R,11 084,-,-,jaworski
4Żółkiewka I,E,23 980,20 557,64,świdnicki
4Żółkiewka II,R,12 116,-,-,świdnicki
4Żółkiewka III,E,16 096,11 945,2,świdnicki
4Żółkiewka IV,E,17 010,17 010,151,świdnicki
4Żółkiewka-Wiatrak,T,29 652,26 000,-,świdnicki
6Chrostkowo Nowe,R,462,-,-,lipnowski
4Kamienna Góra,E,8 729,6 157,105,nyski
4Maciejowice,Z,2 300,-,-,nyski
4Maciejowice I,T,8 787,5 415,-,nyski
4Nadziejów,Z,517,-,-,nyski
4Nadziejów I,R,9 726,-,-,nyski
4Starowice,R,4 120,-,-,nyski
4Żelebsko,Z,1 405,-,-,biłgorajski
4Czepów,T,118,-,-,poddębicki
4Kodrąb,Z,3 961,-,-,radomszczański
4Kodrąb-2,E,13 837,10 924,11,radomszczański
4Lisowice Las,R,230,-,-,pajęczański
4Lisowice-Wieś,E,224,-,15,pajęczański
4Raciszyn Wieś,R,150,-,-,pajęczański
4Rożniatów,R,-,-,-,poddębicki
4Sławno,E,9 834,2 968,308,opoczyński
4Sławno I,R,503,-,-,opoczyński
4Trakt Kamioński,T,386,-,-,pajęczański
4Trakt Kamioński II,T,250,-,-,pajęczański
4Trakt Kamioński III,R,392,-,-,pajęczański
3Zalesiaki,E,1 784,883,21,pajęczański
1Bolęcin,E,11 587,2 323,173,chrzanowski
4Dębnik,Z,4 586,-,-,krakowski
4Dębnik I,Z,6 528,-,-,krakowski
1Dubie,E,110 369,86 363,1 097,krakowski
4Kamień-Odwozy,R,8 745,-,-,krakowski
4Kąpiele Wielkie,R,32 828,-,-,olkuski
1Kąty,Z,657,-,-,chrzanowski
1Libiąż,E,10 950,10 950,787,chrzanowski
1Libiąż Wielki,P,17 810,-,-,chrzanowski
4Mirów,Z,3 859,-,-,chrzanowski
4Mirów-Kamir,T,2 539,2 063,-,chrzanowski
4Nielepice,Z,15 184,-,-,krakowski
1Niesułowice-Lgota,R,25 070,-,-,olkuski
4Paczółtowice,P,6 425,-,-,krakowski
4Piaseczno,R,748,-,-,miechowski
4Pogorzyce,R,6 107,-,-,chrzanowski
4Porąbka,P,48 248,-,-,olkuski
1Stare Gliny,E,52 718,24 433,1 204,olkuski
4Szaflary Zaskale,R,2 614,-,-,nowotarski
1Ujków Stary,E,15 296,8 762,191,olkuski
4Ulina Wielka,E,1 139,185,25,miechowski
1Żelatowa,E,28 298,26 526,952,chrzanowski
4Centawa,E,182,-,5,strzelecki
4Chorula,Z,3 783,-,-,krapkowicki
1Góra Apla,R,312,-,-,nyski
1Góra Apla 1,R,1 257,-,-,nyski
4Sławniowice,E,97,97,0,nyski
4Dybkowa Góra,Z,819,-,-,kielecki
4Głuchowiec,E,11 820,9 871,498,jędrzejowski
4Głuchowiec II,P,43 650,-,-,jędrzejowski
"1,4Godów",R,507,-,-,starachowicki
4Gołuchów,Z,3 901,-,-,pińczowski
4Gołuchów 1,E,1 097,-,11,pińczowski
4Gorzakiew-Wygoda,R,119,-,-,"buski, kielecki"
4Górki Szczukowskie,Z,1 519,-,-,kielecki
1Grocholice,P,38 673,-,-,opatowski
4Gumienice,Z,1 066,-,-,kielecki
4Gumienice II,E,2 652,523,62,kielecki
"1,4Janczyce",R,76 762,-,-,opatowski
1Janczyce 1,E,81 557,8 180,987,opatowski
4Jaźwica,E,67 478,30 518,1 995,kielecki
"1,4Józefka",E,19 921,18 147,705,kielecki
4Julianów-Polesie,R,1 211,888,-,opatowski
1Jurkowice,E,18 149,16 727,823,staszowski
4Kamienna Góra-Obice,R,15 949,-,-,kielecki
4Karsy,Z,18 447,-,-,opatowski
4Karsy 1,R,1 420,-,-,opatowski
1Komorniki 1,E,17 399,1 681,296,kielecki
"1,4Komorniki 2",R,19 614,-,-,"kielecki, opatowski"
4Komorniki-Smyki,R,66 692,-,-,"kielecki, opatowski"
4Kostomłoty,E,8 138,2 523,142,kielecki
1Kowala Mała,E,78 659,28 094,2 051,kielecki
4Kowala-Sobków,R,2 011,-,-,kielecki
4Krasocin 2,R,1 257,-,-,włoszczowski
4Krępa,R,33 715,-,-,opatowski
4Krzemucha,R,tylko pzb.,-,-,kielecki
4Księża Niwa,R,641,-,-,staszowski
1Laskowa Góra,E,24 172,9 595,586,kielecki
4Lipkowa Góra,E,1 151,1 151,191,kielecki
4Łagów - Nowy Staw,R,21 065,8 381,-,kielecki
4Łagów - Zagościniec,T,2 650,717,-,kielecki
4Łagów II,E,48 976,7 310,988,kielecki
4Łagów III,T,8 895,157,-,kielecki
4Łagów IV,E,10 657,8 538,781,kielecki
4Łagów V,E,17 593,5 729,801,kielecki
4Łukowa,P,18 781,-,-,kielecki
